diag_idx,target_space,n_pairs,mean_error_smoothed_oe,smoothed_correction
192,smoothed_oe,254100,0.04342008754611015,0.0425688810646534
193,smoothed_oe,253275,0.04385252296924591,0.0426625981926918
194,smoothed_oe,252450,0.04275256395339966,0.04254564642906189
195,smoothed_oe,251625,0.0414322204887867,0.042353201657533646
196,smoothed_oe,250800,0.041494566947221756,0.042209018021821976
197,smoothed_oe,249975,0.04244634509086609,0.042152054607868195
198,smoothed_oe,249150,0.042963653802871704,0.04216484725475311
199,smoothed_oe,248325,0.04156950116157532,0.04226001352071762
200,smoothed_oe,247500,0.041281167417764664,0.04249414801597595
201,smoothed_oe,246675,0.04253840819001198,0.042878925800323486
202,smoothed_oe,245850,0.043770208954811096,0.04330676048994064
203,smoothed_oe,245025,0.044943034648895264,0.04359950125217438
204,smoothed_oe,244200,0.044579457491636276,0.04364732280373573
205,smoothed_oe,243375,0.0436297208070755,0.04350803792476654
206,smoothed_oe,242550,0.04208604246377945,0.04337430000305176
207,smoothed_oe,241725,0.04227866977453232,0.04343804717063904
208,smoothed_oe,240900,0.043490711599588394,0.04377702996134758
209,smoothed_oe,240075,0.04463713616132736,0.044357676059007645
210,smoothed_oe,239250,0.04479909688234329,0.04511280730366707
211,smoothed_oe,238425,0.044986989349126816,0.0459718219935894
212,smoothed_oe,237600,0.04708721488714218,0.046808864921331406
213,smoothed_oe,236775,0.04901689663529396,0.047416090965270996
214,smoothed_oe,235950,0.04963577538728714,0.04760102927684784
215,smoothed_oe,235125,0.048338547348976135,0.047350432723760605
216,smoothed_oe,234300,0.046243637800216675,0.04689473286271095
217,smoothed_oe,233475,0.04455936700105667,0.046575386077165604
218,smoothed_oe,232650,0.04454844817519188,0.046592459082603455
219,smoothed_oe,231825,0.0475439690053463,0.04683593660593033
220,smoothed_oe,231000,0.049205098301172256,0.04695899784564972
221,smoothed_oe,230175,0.04886114224791527,0.046646058559417725
222,smoothed_oe,229350,0.04642564058303833,0.04584643244743347
223,smoothed_oe,228525,0.04394722357392311,0.044778935611248016
224,smoothed_oe,227700,0.04219616577029228,0.04372759535908699
225,smoothed_oe,226875,0.042520079761743546,0.04282943904399872
226,smoothed_oe,226050,0.04299137741327286,0.04203866422176361
227,smoothed_oe,225225,0.042273081839084625,0.04125754162669182
228,smoothed_oe,224400,0.03887186944484711,0.040453772991895676
229,smoothed_oe,223575,0.03940243646502495,0.039643365889787674
230,smoothed_oe,222750,0.04012655094265938,0.038828618824481964
231,smoothed_oe,221925,0.03816802054643631,0.038028400391340256
232,smoothed_oe,221100,0.03633390739560127,0.037356503307819366
233,smoothed_oe,220275,0.035395439714193344,0.03699891269207001
234,smoothed_oe,219450,0.0355248861014843,0.03707119822502136
235,smoothed_oe,218625,0.03717062622308731,0.03749294579029083
236,smoothed_oe,217800,0.03902643546462059,0.03800870105624199
237,smoothed_oe,216975,0.040056370198726654,0.038355689495801926
238,smoothed_oe,216150,0.039547987282276154,0.03844530135393143
239,smoothed_oe,215325,0.03664098680019379,0.03838932514190674
240,smoothed_oe,214500,0.03728847578167915,0.03833376243710518
241,smoothed_oe,213675,0.03914712369441986,0.0382709838449955
242,smoothed_oe,212850,0.039802175015211105,0.038032326847314835
243,smoothed_oe,212025,0.038353193551301956,0.03745327144861221
244,smoothed_oe,211200,0.037093788385391235,0.03652375191450119
245,smoothed_oe,210375,0.03516646474599838,0.035395484417676926
246,smoothed_oe,209550,0.03347122296690941,0.03428102284669876
247,smoothed_oe,208725,0.03256373852491379,0.033346593379974365
248,smoothed_oe,207900,0.03232601657509804,0.032663650810718536
249,smoothed_oe,207075,0.03185921907424927,0.03222460299730301
250,smoothed_oe,206250,0.031452056020498276,0.031988002359867096
251,smoothed_oe,205425,0.032229047268629074,0.03191066160798073
252,smoothed_oe,204600,0.03115249238908291,0.031942710280418396
253,smoothed_oe,203775,0.03183704987168312,0.03199487179517746
254,smoothed_oe,202950,0.03314155340194702,0.03193257376551628
255,smoothed_oe,202125,0.032951030880212784,0.03165210783481598
